dataset,column,dtype,missing_pct,unique_vals,min,max,median
output_Ghaziabad_plot.csv,24 X 7 Security,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,Full Power Backup,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_plot.csv,locality_score,float64,70.95,0,5.7,10.0,7.4
output_Ghaziabad_plot.csv,project_score,float64,91.42,0,4.0,9.0,8.149999999999999
output_Ghaziabad_plot.csv,builder_experience,float64,80.77,0,16.0,2022.0,123.0
output_Ghaziabad_plot.csv,Indoor Games,float64,87.28,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,ATM,float64,87.69,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Intercom,float64,94.47,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,School,float64,77.87,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Shopping Mall,float64,87.41,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Multipurpose Room,float64,95.16,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Vaastu Compliant,float64,76.63,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Cafeteria,float64,99.17,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Staff Quarter,float64,95.99,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Hospital,float64,91.29,0,1.0,1.0,1.0
output_Ghaziabad_plot.csv,Golf Course,float64,99.59,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,location,str,0.0,30,,,
output_Ghaziabad_villa.csv,area,int64,0.0,0,315.0,8000.0,1385.0
output_Ghaziabad_villa.csv,price,int64,0.0,0,1050174.0,80000000.0,4585000.0
output_Ghaziabad_villa.csv,price_currency,str,0.0,1,,,
output_Ghaziabad_villa.csv,status,float64,52.16,0,0.0,1.0,1.0
output_Ghaziabad_villa.csv,new/resale,int64,0.0,0,0.0,1.0,1.0
output_Ghaziabad_villa.csv,price_negotiable,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,description,str,1.8,269,,,
output_Ghaziabad_villa.csv,security_deposit,int64,0.0,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,facing,str,30.94,8,,,
output_Ghaziabad_villa.csv,furnished,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,age of property,int64,0.0,0,0.0,24.0,0.0
output_Ghaziabad_villa.csv,Lift(s),int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,24 X 7 Security,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Children's play area,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Club House,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Full Power Backup,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Swimming Pool,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Sports Facility,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Jogging Track,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Landscaped Gardens,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,Gymnasium,int64,0.0,0,0.0,1.0,0.0
output_Ghaziabad_villa.csv,School,float64,87.77,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,locality_score,float64,73.74,0,7.2,9.5,7.4
output_Ghaziabad_villa.csv,project_score,float64,95.68,0,4.0,8.4,7.8
output_Ghaziabad_villa.csv,builder_experience,float64,73.02,0,13.0,2022.0,123.0
output_Ghaziabad_villa.csv,Intercom,float64,81.29,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Rain Water Harvesting,float64,91.37,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Car Parking,float64,88.49,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Vaastu Compliant,float64,92.09,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Indoor Games,float64,96.4,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Multipurpose Room,float64,98.2,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Staff Quarter,float64,96.76,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Golf Course,float64,99.28,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Cafeteria,float64,99.28,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Maintenance Staff,float64,98.56,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,ATM,float64,96.4,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Shopping Mall,float64,96.76,0,1.0,1.0,1.0
output_Ghaziabad_villa.csv,Hospital,float64,96.76,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,location,str,4.05,37,,,
output_Lucknow_builderfloor.csv,area,float64,4.05,0,221.0,3266.0,1014.0
output_Lucknow_builderfloor.csv,price,float64,4.05,0,800000.0,22500000.0,4000000.0
output_Lucknow_builderfloor.csv,price_currency,str,4.05,1,,,
output_Lucknow_builderfloor.csv,status,float64,91.89,0,0.0,1.0,0.5
output_Lucknow_builderfloor.csv,new/resale,float64,4.05,0,0.0,1.0,1.0
output_Lucknow_builderfloor.csv,price_negotiable,float64,4.05,0,0.0,1.0,1.0
output_Lucknow_builderfloor.csv,description,str,5.41,68,,,
output_Lucknow_builderfloor.csv,security_deposit,float64,4.05,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,facing,str,32.43,5,,,
output_Lucknow_builderfloor.csv,furnished,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,age of property,int64,0.0,0,0.0,21.0,1.0
output_Lucknow_builderfloor.csv,Lift(s),float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Full Power Backup,float64,4.05,0,0.0,1.0,1.0
output_Lucknow_builderfloor.csv,24 X 7 Security,float64,4.05,0,0.0,1.0,1.0
output_Lucknow_builderfloor.csv,Children's play area,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Club House,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Swimming Pool,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Jogging Track,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Landscaped Gardens,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Sports Facility,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,Gymnasium,float64,4.05,0,0.0,1.0,0.0
output_Lucknow_builderfloor.csv,locality_score,float64,58.11,0,6.3,10.0,8.4
output_Lucknow_builderfloor.csv,project_score,float64,85.14,0,4.0,8.5,8.2
output_Lucknow_builderfloor.csv,builder_experience,float64,63.51,0,15.0,123.0,123.0
output_Lucknow_builderfloor.csv,Indoor Games,float64,89.19,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Rain Water Harvesting,float64,74.32,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Intercom,float64,82.43,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Maintenance Staff,float64,86.49,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Vaastu Compliant,float64,79.73,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Car Parking,float64,41.89,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Shopping Mall,float64,86.49,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Multipurpose Room,float64,97.3,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,ATM,float64,90.54,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Staff Quarter,float64,90.54,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Hospital,float64,89.19,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,School,float64,89.19,0,1.0,1.0,1.0
output_Lucknow_builderfloor.csv,Cafeteria,float64,95.95,0,1.0,1.0,1.0
output_Lucknow_plot.csv,location,str,0.0,130,,,
output_Lucknow_plot.csv,area,int64,0.0,0,40.0,16000.0,1000.0
output_Lucknow_plot.csv,price,int64,0.0,0,10000.0,210000000.0,777500.0
output_Lucknow_plot.csv,price_currency,str,0.0,1,,,
output_Lucknow_plot.csv,status,float64,40.73,0,0.0,1.0,1.0
output_Lucknow_plot.csv,new/resale,int64,0.0,0,0.0,1.0,1.0
output_Lucknow_plot.csv,price_negotiable,int64,0.0,0,0.0,1.0,1.0
output_Lucknow_plot.csv,description,str,4.13,1681,,,
output_Lucknow_plot.csv,security_deposit,int64,0.0,0,1.0,1.0,1.0
output_Lucknow_plot.csv,facing,str,11.31,7,,,
output_Lucknow_plot.csv,furnished,int64,0.0,0,0.0,0.0,0.0
output_Lucknow_plot.csv,age of property,int64,0.0,0,0.0,50.0,0.0
output_Lucknow_plot.csv,Swimming Pool,int64,0.0,0,0.0,1.0,1.0
output_Lucknow_plot.csv,Sports Facility,int64,0.0,0,0.0,1.0,0.0
output_Lucknow_plot.csv,Lift(s),int64,0.0,0,0.0,1.0,0.0
output_Lucknow_plot.csv,Club House,int64,0.0,0,0.0,1.0,0.0
output_Lucknow_plot.csv,Full Power Backup,int64,0.0,0,0.0,1.0,1.0
