plot_type,city,price,Unit,Rupee_per_area,Area,state
Residential Plot,Visakhapatnam, 48 L, L,"1,066 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 17.62 L, L,"1,067 / sq ft",1650,andhra pradesh
Residential Plot,Visakhapatnam, 15.68 L, L,"1,068 / sq ft",1468,andhra pradesh
Residential Plot,Visakhapatnam, 26 L, L,"1,069 / sq ft",2430,andhra pradesh
Residential Plot,Vizianagaram, 21.3 L, L,"1,070 / sq ft",1990,andhra pradesh
Residential Plot,Visakhapatnam, 15.68 L, L,"1,071 / sq ft",1463,andhra pradesh
Residential Plot,Visakhapatnam, 15.12 L, L,"1,072 / sq ft",1410,andhra pradesh
Residential Plot,Visakhapatnam, 8.5 L, L,"1,073 / sq ft",792,andhra pradesh
Residential Plot,Visakhapatnam, 18.1 L, L,"1,074 / sq ft",1684,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,075 / sq ft",1860,andhra pradesh
Residential Plot,Visakhapatnam, 16.56 L, L,"1,075 / sq ft",1540,andhra pradesh
Residential Plot,Visakhapatnam, 16.85 L, L,"1,076 / sq ft",1565,andhra pradesh
Residential Plot,Visakhapatnam, 14.53 L, L,"1,076 / sq ft",1350,andhra pradesh
Residential Plot,Visakhapatnam, 13.57 L, L,"1,076 / sq ft",1260,andhra pradesh
Residential Plot,Visakhapatnam, 23.1 L, L,"1,079 / sq ft",2140,andhra pradesh
Residential Plot,Vizianagaram, 38.46 L, L,"1,080 / sq ft",3560,andhra pradesh
Residential Plot,Visakhapatnam, 35 L, L,"1,080 / sq ft",3240,andhra pradesh
Residential Plot,Visakhapatnam, 19.5 L, L,"1,081 / sq ft",1803,andhra pradesh
Residential Plot,Visakhapatnam, 14.71 L, L,"1,081 / sq ft",1360,andhra pradesh
Residential Plot,Visakhapatnam, 17.86 L, L,"1,082 / sq ft",1650,andhra pradesh
Residential Plot,Tirupati, 19.5 L, L,"1,083 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 19.5 L, L,"1,083 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 18.53 L, L,"1,083 / sq ft",1710,andhra pradesh
Residential Plot,Visakhapatnam, 13 L, L,"1,083 / sq ft",1200,andhra pradesh
Residential Plot,Visakhapatnam, 21.5 L, L,"1,085 / sq ft",1980,andhra pradesh
Residential Plot,Visakhapatnam, 50 L, L,"1,086 / sq ft",4600,andhra pradesh
Residential Plot,Tirupati, 19.55 L, L,"1,086 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 13 L, L,"1,086 / sq ft",1197,andhra pradesh
Residential Plot,Visakhapatnam, 11.5 L, L,"1,086 / sq ft",1058,andhra pradesh
Residential Plot,Prakasam, 24.5 L, L,"1,088 / sq ft",2250,andhra pradesh
Residential Plot,Visakhapatnam, 14.7 L, L,"1,088 / sq ft",1350,andhra pradesh
Residential Plot,Visakhapatnam, 12.54 L, L,"1,088 / sq ft",1152,andhra pradesh
Residential Plot,Visakhapatnam, 21.35 L, L,"1,089 / sq ft",1960,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,091 / sq ft",1832,andhra pradesh
Residential Plot,Visakhapatnam, 14.63 L, L,"1,091 / sq ft",1340,andhra pradesh
Residential Plot,Visakhapatnam, 16.84 L, L,"1,092 / sq ft",1542,andhra pradesh
Residential Plot,Visakhapatnam, 12 L, L,"1,092 / sq ft",1098,andhra pradesh
Residential Plot,Visakhapatnam, 50 L, L,"1,095 / sq ft",4566,andhra pradesh
Residential Plot,Visakhapatnam, 16.5 L, L,"1,095 / sq ft",1506,andhra pradesh
Residential Plot,Visakhapatnam, 16.5 L, L,"1,096 / sq ft",1505,andhra pradesh
Residential Plot,Visakhapatnam, 13.81 L, L,"1,096 / sq ft",1260,andhra pradesh
Residential Plot,Visakhapatnam, 39.5 L, L,"1,097 / sq ft",3600,andhra pradesh
Residential Plot,Visakhapatnam, 21.3 L, L,"1,097 / sq ft",1940,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,097 / sq ft",1823,andhra pradesh
Residential Plot,Visakhapatnam, 16.5 L, L,"1,097 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 19.76 L, L,"1,098 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 16.5 L, L,"1,098 / sq ft",1502,andhra pradesh
Residential Plot,Visakhapatnam, 12.54 L, L,"1,098 / sq ft",1142,andhra pradesh
Residential Plot,Visakhapatnam, 16.93 L, L,"1,099 / sq ft",1540,andhra pradesh
Residential Plot,Visakhapatnam, 26.43 L, L,"1,100 / sq ft",2403,andhra pradesh
Residential Plot,Visakhapatnam, 24.75 L, L,"1,100 / sq ft",2250,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,100 / sq ft",1817,andhra pradesh
Residential Plot,Tirupati, 19.8 L, L,"1,100 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 19.8 L, L,"1,100 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 17.82 L, L,"1,100 / sq ft",1620,andhra pradesh
Residential Plot,Visakhapatnam, 16.55 L, L,"1,100 / sq ft",1504,andhra pradesh
Residential Plot,Visakhapatnam, 16.53 L, L,"1,100 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 13.86 L, L,"1,100 / sq ft",1260,andhra pradesh
Residential Plot,Visakhapatnam, 33 L, L,"1,101 / sq ft",2997,andhra pradesh
Residential Plot,Visakhapatnam, 16.51 L, L,"1,101 / sq ft",1500,andhra pradesh
Residential Plot,Visakhapatnam, 13.42 L, L,"1,101 / sq ft",1218,andhra pradesh
2 BHK Villa,Anantapuram, 16 L, L,"1,103 / sq ft",1450,andhra pradesh
Residential Plot,Vijayawada, 16.5 L, L,"1,104 / sq ft",1494,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,105 / sq ft",1809,andhra pradesh
Residential Plot,Visakhapatnam, 52 L, L,"1,106 / sq ft",4700,andhra pradesh
Residential Plot,Visakhapatnam, 26 L, L,"1,106 / sq ft",2350,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,106 / sq ft",1807,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,107 / sq ft",1806,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,108 / sq ft",1805,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,108 / sq ft",1804,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,109 / sq ft",1803,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,109 / sq ft",1802,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,110 / sq ft",1801,andhra pradesh
Residential Plot,Visakhapatnam, 1 Cr, Cr,"1,111 / sq ft",9000,andhra pradesh
Residential Plot,Visakhapatnam, 72 L, L,"1,111 / sq ft",6480,andhra pradesh
Residential Plot,Guntur, 53.3 L, L,"1,111 / sq ft",4797,andhra pradesh
Residential Plot,Visakhapatnam, 50 L, L,"1,111 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 40 L, L,"1,111 / sq ft",3600,andhra pradesh
Residential Plot,Guntur, 37 L, L,"1,111 / sq ft",3330,andhra pradesh
Residential Plot,Guntur, 33 L, L,"1,111 / sq ft",2970,andhra pradesh
Residential Plot,Visakhapatnam, 25 L, L,"1,111 / sq ft",2250,andhra pradesh
Residential Plot,Tirupati, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Nellore, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Vizianagaram, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Srikakulam, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Guntur, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Eluru, 20 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 19.99 L, L,"1,111 / sq ft",1800,andhra pradesh
Residential Plot,Guntur, 18.7 L, L,"1,111 / sq ft",1683,andhra pradesh
Residential Plot,Visakhapatnam, 18.3 L, L,"1,111 / sq ft",1647,andhra pradesh
Residential Plot,Visakhapatnam, 18 L, L,"1,111 / sq ft",1620,andhra pradesh
Residential Plot,Guntur, 17 L, L,"1,111 / sq ft",1530,andhra pradesh
Residential Plot,Guntur, 16.8 L, L,"1,111 / sq ft",1512,andhra pradesh
Residential Plot,Vizianagaram, 16.7 L, L,"1,111 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 16.7 L, L,"1,111 / sq ft",1503,andhra pradesh
Residential Plot,Guntur, 16.7 L, L,"1,111 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 16.66 L, L,"1,111 / sq ft",1500,andhra pradesh
Residential Plot,Guntur, 16.5 L, L,"1,111 / sq ft",1485,andhra pradesh
Residential Plot,Visakhapatnam, 15 L, L,"1,111 / sq ft",1350,andhra pradesh
Residential Plot,Visakhapatnam, 14.99 L, L,"1,111 / sq ft",1350,andhra pradesh
Residential Plot,Vijayawada, 14.99 L, L,"1,111 / sq ft",1350,andhra pradesh
Residential Plot,Guntur, 15 L, L,"1,111 / sq ft",1350,andhra pradesh
Residential Plot,Kakinada, 14.7 L, L,"1,111 / sq ft",1323,andhra pradesh
Residential Plot,Guntur, 13.3 L, L,"1,111 / sq ft",1197,andhra pradesh
Residential Plot,Vijayawada, 10 L, L,"1,111 / sq ft",900,andhra pradesh
Residential Plot,Visakhapatnam, 9 L, L,"1,111 / sq ft",810,andhra pradesh
Residential Plot,Visakhapatnam, 21.6 L, L,"1,113 / sq ft",1940,andhra pradesh
Residential Plot,Visakhapatnam, 17.4 L, L,"1,115 / sq ft",1560,andhra pradesh
Residential Plot,Kakinada, 11.98 L, L,"1,116 / sq ft",1073,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,117 / sq ft",1790,andhra pradesh
Residential Plot,Visakhapatnam, 16.34 L, L,"1,119 / sq ft",1460,andhra pradesh
2 BHK Apartment,Vizianagaram, 12.35 L, L,"1,119 / sq ft",1103,andhra pradesh
Residential Plot,Visakhapatnam, 56 L, L,"1,120 / sq ft",5000,andhra pradesh
Residential Plot,Visakhapatnam, 17.58 L, L,"1,120 / sq ft",1569,andhra pradesh
Residential Plot,Visakhapatnam, 11.56 L, L,"1,122 / sq ft",1030,andhra pradesh
Residential Plot,Visakhapatnam, 27 L, L,"1,123 / sq ft",2403,andhra pradesh
Residential Plot,Visakhapatnam, 32.15 L, L,"1,124 / sq ft",2860,andhra pradesh
Residential Plot,Visakhapatnam, 17.56 L, L,"1,125 / sq ft",1560,andhra pradesh
Residential Plot,Visakhapatnam, 18.96 L, L,"1,128 / sq ft",1680,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,129 / sq ft",1860,andhra pradesh
Residential Plot,Visakhapatnam, 19.76 L, L,"1,129 / sq ft",1750,andhra pradesh
Residential Plot,Visakhapatnam, 52 L, L,"1,130 / sq ft",4600,andhra pradesh
Residential Plot,Visakhapatnam, 26 L, L,"1,130 / sq ft",2300,andhra pradesh
Residential Plot,Visakhapatnam, 17 L, L,"1,130 / sq ft",1504,andhra pradesh
Residential Plot,Vijayawada, 27.12 L, L,"1,132 / sq ft",2394,andhra pradesh
Residential Plot,Visakhapatnam, 24.68 L, L,"1,132 / sq ft",2180,andhra pradesh
Residential Plot,Vizianagaram, 21.3 L, L,"1,132 / sq ft",1880,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,135 / sq ft",1850,andhra pradesh
Residential Plot,Visakhapatnam, 16.85 L, L,"1,135 / sq ft",1484,andhra pradesh
Residential Plot,Tirupati, 20.5 L, L,"1,138 / sq ft",1800,andhra pradesh
Residential Plot,Visakhapatnam, 13.65 L, L,"1,139 / sq ft",1198,andhra pradesh
Residential Plot,Tirupati, 16 L, L,"1,142 / sq ft",1400,andhra pradesh
Residential Plot,Visakhapatnam, 55 L, L,"1,145 / sq ft",4800,andhra pradesh
Residential Plot,Vijayawada, 27.84 L, L,"1,145 / sq ft",2430,andhra pradesh
Residential Plot,Visakhapatnam, 46 L, L,"1,149 / sq ft",4002,andhra pradesh
Residential Plot,Visakhapatnam, 24.52 L, L,"1,151 / sq ft",2130,andhra pradesh
Residential Plot,Visakhapatnam, 16.58 L, L,"1,151 / sq ft",1440,andhra pradesh
Residential Plot,Visakhapatnam, 13.54 L, L,"1,152 / sq ft",1175,andhra pradesh
Residential Plot,Visakhapatnam, 30 L, L,"1,153 / sq ft",2600,andhra pradesh
Residential Plot,Visakhapatnam, 52 L, L,"1,155 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 31.18 L, L,"1,155 / sq ft",2700,andhra pradesh
Residential Plot,Visakhapatnam, 17.35 L, L,"1,155 / sq ft",1503,andhra pradesh
Residential Plot,Visakhapatnam, 25 L, L,"1,157 / sq ft",2160,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,157 / sq ft",1900,andhra pradesh
Residential Plot,Vizianagaram, 21.3 L, L,"1,157 / sq ft",1840,andhra pradesh
Residential Plot,Vijayawada, 10 L, L,"1,157 / sq ft",864,andhra pradesh
Residential Plot,Vizianagaram, 17.85 L, L,"1,159 / sq ft",1540,andhra pradesh
Residential Plot,Visakhapatnam, 23.2 L, L,"1,160 / sq ft",1999,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,160 / sq ft",1809,andhra pradesh
Residential Plot,Visakhapatnam, 21 L, L,"1,162 / sq ft",1806,andhra pradesh
Residential Plot,Visakhapatnam, 13.54 L, L,"1,162 / sq ft",1165,andhra pradesh
Residential Plot,Tirupati, 1.13 Cr, Cr,"1,164 / sq ft",9700,andhra pradesh
Residential Plot,Visakhapatnam, 13.47 L, L,"1,165 / sq ft",1156,andhra pradesh
Residential Plot,Tirupati, 44.1 L, L,"1,166 / sq ft",3780,andhra pradesh
Residential Plot,Tirupati, 35.77 L, L,"1,166 / sq ft",3066,andhra pradesh
