property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Mandya,16.18, L,1349.0,1200,Karnataka
Plot/Land,Bengaluru,64.8, L,1350.0,4800,Karnataka
Plot/Land,Mysore,20.25, L,1350.0,1500,Karnataka
Plot/Land,Bengaluru,16.2, L,1350.0,1200,Karnataka
Plot/Land,Bengaluru,14.05, L,1350.0,1040,Karnataka
Plot/Land,Bengaluru,13.5, L,1350.0,1000,Karnataka
Plot/Land,Bengaluru,10.8, L,1350.0,800,Karnataka
Plot/Land,Bengaluru,16.3, L,1358.0,1200,Karnataka
Villa/Independent House,Mangaluru,68.1, L,1362.0,5000,Karnataka
Plot/Land,Mangaluru,30.0, L,1363.0,2200,Karnataka
Plot/Land,Bengaluru,16.55, L,1367.0,1210,Karnataka
Plot/Land,Mangaluru,12500000.0, Cr,1368.0,9135,Karnataka
Plot/Land,Bengaluru,18.5, L,1370.0,1350,Karnataka
Villa/Independent House,Bengaluru,16500000.0, Cr,1375.0,12000,Karnataka
Plot/Land,Bengaluru,19.99, L,1376.0,1453,Karnataka
Plot/Land,Mangaluru,60.0, L,1377.0,4355,Karnataka
Plot/Land,Bengaluru,66.24, L,1380.0,4800,Karnataka
Plot/Land,Mangaluru,18.0, L,1384.0,1300,Karnataka
Plot/Land,Bengaluru,25.0, L,1388.0,1800,Karnataka
Plot/Land,Bengaluru,18.9, L,1389.0,1360,Karnataka
Plot/Land,Bengaluru,55.67, L,1391.0,4000,Karnataka
Plot/Land,Thiruvananthapuram,31500000.0, Cr,1393.0,22604,Karnataka
Plot/Land,Bengaluru,33.5, L,1395.0,2400,Karnataka
Plot/Land,Bengaluru,20.93, L,1395.0,1500,Karnataka
Plot/Land,Bengaluru,19.01, L,1395.0,1362,Karnataka
Plot/Land,Bengaluru,16.74, L,1395.0,1200,Karnataka
Plot/Land,Bengaluru,8.37, L,1395.0,600,Karnataka
Plot/Land,Bengaluru,55.85, L,1396.0,4000,Karnataka
Plot/Land,Bengaluru,55.86, L,1396.0,4000,Karnataka
Plot/Land,Bengaluru,17.6, L,1396.0,1260,Karnataka
Plot/Land,Bengaluru,8.37, L,1396.0,600,Karnataka
Plot/Land,Bengaluru,19.0, L,1397.0,1360,Karnataka
Plot/Land,Bengaluru,19.02, L,1398.0,1360,Karnataka
Plot/Land,Bengaluru,18.99, L,1398.0,1358,Karnataka
Plot/Land,Bengaluru,16.77, L,1398.0,1200,Karnataka
Plot/Land,Bengaluru,33.58, L,1399.0,2400,Karnataka
Plot/Land,Bengaluru,23.08, L,1399.0,1650,Karnataka
Plot/Land,Bengaluru,16.78, L,1399.0,1200,Karnataka
Plot/Land,Bengaluru,16.79, L,1399.0,1200,Karnataka
Apartment,Bengaluru,435900000.00000006, Cr,140147.0,3111,Karnataka
Plot/Land,Bengaluru,56.0, L,1400.0,4000,Karnataka
Plot/Land,Bengaluru,33.6, L,1400.0,2400,Karnataka
Plot/Land,Bengaluru,21.0, L,1400.0,1500,Karnataka
Villa/Independent House,Bengaluru,21.0, L,1400.0,1500,Karnataka
Plot/Land,Bengaluru,19.07, L,1400.0,1362,Karnataka
Plot/Land,Bengaluru,17.64, L,1400.0,1260,Karnataka
Plot/Land,Bengaluru,16.8, L,1400.0,1200,Karnataka
Plot/Land,Mysore,16.8, L,1400.0,1200,Karnataka
Plot/Land,Bengaluru,11.2, L,1400.0,800,Karnataka
Plot/Land,Bengaluru,19.1, L,1404.0,1360,Karnataka
Apartment,Bengaluru,18.36, L,1405.0,1306,Karnataka
Plot/Land,Bengaluru,22.5, L,1406.0,1600,Karnataka
Plot/Land,Bengaluru,19.2, L,1411.0,1360,Karnataka
Apartment,Bengaluru,11.99, L,1411.0,850,Karnataka
Plot/Land,Bengaluru,16.98, L,1415.0,1200,Karnataka
Plot/Land,Bengaluru,17.0, L,1416.0,1200,Karnataka
Plot/Land,Mysore,8.5, L,1416.0,600,Karnataka
Plot/Land,Bengaluru,56.78, L,1419.0,4000,Karnataka
Plot/Land,Bengaluru,56.86, L,1421.0,4000,Karnataka
Plot/Land,Bengaluru,25.1, L,1442.0,1740,Karnataka
Plot/Land,Bengaluru,25500000.0, Cr,1448.0,17600,Karnataka
Plot/Land,Bengaluru,21.75, L,1450.0,1500,Karnataka
Plot/Land,Bengaluru,17.4, L,1450.0,1200,Karnataka
Plot/Land,Bengaluru,8.7, L,1450.0,600,Karnataka
Plot/Land,Bengaluru,29.12, L,1456.0,2000,Karnataka
Plot/Land,Bengaluru,20.38, L,1456.0,1400,Karnataka
Plot/Land,Mangaluru,70.0, L,1458.0,4800,Karnataka
Plot/Land,Bengaluru,17.5, L,1458.0,1200,Karnataka
Plot/Land,Bengaluru,20.49, L,1464.0,1400,Karnataka
Plot/Land,Bengaluru,23.46, L,1466.0,1600,Karnataka
Plot/Land,Bengaluru,20.6, L,1471.0,1400,Karnataka
Plot/Land,Bengaluru,70.8, L,1475.0,4800,Karnataka
Plot/Land,Bengaluru,20.65, L,1475.0,1400,Karnataka
Plot/Land,Bengaluru,17.7, L,1475.0,1200,Karnataka
Plot/Land,Tumkur,40.5, L,1478.0,2740,Karnataka
Plot/Land,Bengaluru,20.7, L,1479.0,1400,Karnataka
Plot/Land,Bengaluru,71.06, L,1480.0,4800,Karnataka
Plot/Land,Bengaluru,35.9, L,1480.0,2425,Karnataka
Plot/Land,Bengaluru,29.6, L,1480.0,2000,Karnataka
Plot/Land,Bengaluru,20.76, L,1482.0,1400,Karnataka
Plot/Land,Bengaluru,20.25, L,1483.0,1365,Karnataka
Plot/Land,Bengaluru,29.68, L,1484.0,2000,Karnataka
Plot/Land,Bengaluru,20.77, L,1484.0,1400,Karnataka
Plot/Land,Bengaluru,29.7, L,1485.0,2000,Karnataka
Plot/Land,Bengaluru,20.79, L,1485.0,1400,Karnataka
Plot/Land,Bengaluru,29.72, L,1486.0,2000,Karnataka
Plot/Land,Bengaluru,20.8, L,1486.0,1400,Karnataka
Plot/Land,Bengaluru,29.76, L,1488.0,2000,Karnataka
Plot/Land,Bengaluru,35.0, L,1489.0,2350,Karnataka
Plot/Land,Bengaluru,20.84, L,1489.0,1400,Karnataka
Plot/Land,Bengaluru,27.0, L,1491.0,1810,Karnataka
Plot/Land,Bengaluru,25.99, L,1492.0,1742,Karnataka
Plot/Land,Mangaluru,65.0, L,1494.0,4350,Karnataka
Plot/Land,Bengaluru,29.88, L,1494.0,2000,Karnataka
Plot/Land,Bengaluru,20.93, L,1495.0,1400,Karnataka
Plot/Land,Bengaluru,20.94, L,1496.0,1400,Karnataka
Plot/Land,Bengaluru,26.05, L,1497.0,1740,Karnataka
Plot/Land,Bengaluru,29.96, L,1498.0,2000,Karnataka
Plot/Land,Bengaluru,26.08, L,1498.0,1740,Karnataka
Plot/Land,Bengaluru,18.1, L,1498.0,1208,Karnataka
Plot/Land,Bengaluru,17.97, L,1498.0,1200,Karnataka
Plot/Land,Bengaluru,59.96, L,1499.0,4000,Karnataka
Plot/Land,Bengaluru,35.97, L,1499.0,2400,Karnataka
Plot/Land,Bengaluru,33.74, L,1499.0,2250,Karnataka
Plot/Land,Bengaluru,29.98, L,1499.0,2000,Karnataka
Plot/Land,Bengaluru,28.06, L,1499.0,1871,Karnataka
Plot/Land,Bengaluru,26.09, L,1499.0,1740,Karnataka
Plot/Land,Bengaluru,22.48, L,1499.0,1500,Karnataka
Plot/Land,Bengaluru,17.98, L,1499.0,1200,Karnataka
Plot/Land,Bengaluru,16.72, L,1499.0,1115,Karnataka
Plot/Land,Bengaluru,8.99, L,1499.0,600,Karnataka
Plot/Land,Bengaluru,90.0, L,1500.0,6000,Karnataka
Plot/Land,Bengaluru,72.0, L,1500.0,4800,Karnataka
Plot/Land,Bengaluru,36.15, L,1500.0,2410,Karnataka
Plot/Land,Bengaluru,36.0, L,1500.0,2400,Karnataka
Plot/Land,Bengaluru,33.75, L,1500.0,2250,Karnataka
Plot/Land,Bengaluru,30.0, L,1500.0,2000,Karnataka
Plot/Land,Bengaluru,28.06, L,1500.0,1871,Karnataka
Plot/Land,Bengaluru,26.1, L,1500.0,1740,Karnataka
Plot/Land,Bengaluru,24.75, L,1500.0,1650,Karnataka
Plot/Land,Bengaluru,22.5, L,1500.0,1500,Karnataka
Plot/Land,Bengaluru,19.5, L,1500.0,1300,Karnataka
Plot/Land,Bengaluru,18.9, L,1500.0,1260,Karnataka
Plot/Land,Bengaluru,18.49, L,1500.0,1233,Karnataka
Plot/Land,Bengaluru,18.0, L,1500.0,1200,Karnataka
Plot/Land,Mysore,18.0, L,1500.0,1200,Karnataka
Plot/Land,Bengaluru,16.72, L,1500.0,1115,Karnataka
Plot/Land,Bengaluru,15.0, L,1500.0,1000,Karnataka
Plot/Land,Bengaluru,14.2, L,1500.0,947,Karnataka
Plot/Land,Bengaluru,13.32, L,1500.0,888,Karnataka
Plot/Land,Bengaluru,12.03, L,1500.0,802,Karnataka
Plot/Land,Bengaluru,9.0, L,1500.0,600,Karnataka
Plot/Land,Bengaluru,26.14, L,1502.0,1740,Karnataka
Plot/Land,Bengaluru,26.19, L,1505.0,1740,Karnataka
Plot/Land,Bengaluru,24.21, L,1513.0,1600,Karnataka
Plot/Land,Hubli,22.0, L,1514.0,1453,Karnataka
Plot/Land,Bengaluru,30.5, L,1525.0,2000,Karnataka
Plot/Land,Bengaluru,27.5, L,1527.0,1800,Karnataka
Plot/Land,Bengaluru,28.6, L,1528.0,1871,Karnataka
Plot/Land,Bengaluru,25.99, L,1529.0,1700,Karnataka
Plot/Land,Bengaluru,73.44, L,1530.0,4800,Karnataka
Plot/Land,Bengaluru,12.24, L,1530.0,800,Karnataka
Apartment,Bengaluru,20.0, L,1532.0,1305,Karnataka
Plot/Land,Bengaluru,23.0, L,1533.0,1500,Karnataka
Plot/Land,Bengaluru,81.62, L,1540.0,5300,Karnataka
Plot/Land,Bengaluru,26.87, L,1544.0,1740,Karnataka
Plot/Land,Bengaluru,23.23, L,1548.0,1500,Karnataka
Plot/Land,Mysore,37.2, L,1550.0,2400,Karnataka
Plot/Land,Bengaluru,32.31, L,1550.0,2085,Karnataka
Plot/Land,Bengaluru,18.6, L,1550.0,1200,Karnataka
Plot/Land,Bengaluru,82.68, L,1560.0,5300,Karnataka
Plot/Land,Bengaluru,18.9, L,1575.0,1200,Karnataka
Plot/Land,Bengaluru,19.1, L,1581.0,1208,Karnataka
Plot/Land,Bengaluru,38.0, L,1583.0,2400,Karnataka
Plot/Land,Bengaluru,19.0, L,1583.0,1200,Karnataka
Plot/Land,Bengaluru,15.9, L,1590.0,1000,Karnataka
Plot/Land,Bengaluru,9.54, L,1590.0,600,Karnataka
Plot/Land,Bengaluru,12.89, L,1591.0,810,Karnataka
Plot/Land,Bengaluru,12.89, L,1592.0,810,Karnataka
Plot/Land,Bengaluru,76.51, L,1594.0,4800,Karnataka
Plot/Land,Bengaluru,27.81, L,1598.0,1740,Karnataka
Plot/Land,Bengaluru,29.93, L,1599.0,1871,Karnataka
Plot/Land,Bengaluru,19.18, L,1599.0,1200,Karnataka
Plot/Land,Bengaluru,12.95, L,1599.0,810,Karnataka
Villa/Independent House,Udupi,32.0, L,1600.0,2000,Karnataka
Plot/Land,Bengaluru,29.93, L,1600.0,1871,Karnataka
Plot/Land,Bengaluru,27.84, L,1600.0,1740,Karnataka
Villa/Independent House,Namakkal,24.0, L,1600.0,1500,Karnataka
Plot/Land,Bengaluru,19.73, L,1600.0,1233,Karnataka
Plot/Land,Bengaluru,19.2, L,1600.0,1200,Karnataka
Plot/Land,Bengaluru,19.21, L,1600.0,1200,Karnataka
Plot/Land,Bengaluru,18.24, L,1600.0,1140,Karnataka
Plot/Land,Bengaluru,17.84, L,1600.0,1115,Karnataka
Plot/Land,Bengaluru,19.21, L,1601.0,1200,Karnataka
Plot/Land,Bengaluru,38.47, L,1602.0,2400,Karnataka
Plot/Land,Bengaluru,12.98, L,1603.0,810,Karnataka
Plot/Land,Bengaluru,12.99, L,1604.0,810,Karnataka
Plot/Land,Bengaluru,64.55, L,1613.0,4000,Karnataka
Plot/Land,Bengaluru,32.3, L,1615.0,2000,Karnataka
Plot/Land,Bengaluru,18.41, L,1615.0,1140,Karnataka
Plot/Land,Bengaluru,65.0, L,1625.0,4000,Karnataka
Villa/Independent House,Mangaluru,65.0, L,1625.0,4000,Karnataka
Plot/Land,Mysore,65.0, L,1625.0,4000,Karnataka
Apartment,Bengaluru,39.0, L,1625.0,2400,Karnataka
Apartment,Bengaluru,39.01, L,1625.0,2400,Karnataka
Plot/Land,Bengaluru,39.0, L,1625.0,2400,Karnataka
Plot/Land,Bengaluru,19.5, L,1625.0,1200,Karnataka
Apartment,Bengaluru,39.04, L,1626.0,2400,Karnataka
Apartment,Bengaluru,39.05, L,1627.0,2400,Karnataka
Apartment,Bengaluru,39.1, L,1629.0,2400,Karnataka
Apartment,Bengaluru,39.15, L,1631.0,2400,Karnataka
Apartment,Bengaluru,39.2, L,1633.0,2400,Karnataka
Plot/Land,Bengaluru,19.6, L,1633.0,1200,Karnataka
Apartment,Bengaluru,39.3, L,1637.0,2400,Karnataka
Plot/Land,Bengaluru,24.59, L,1639.0,1500,Karnataka
Plot/Land,Bengaluru,19.75, L,1645.0,1200,Karnataka
Plot/Land,Bengaluru,33.0, L,1650.0,2000,Karnataka
Plot/Land,Bengaluru,29.7, L,1650.0,1800,Karnataka
Plot/Land,Bengaluru,24.75, L,1650.0,1500,Karnataka
Plot/Land,Bengaluru,19.8, L,1650.0,1200,Karnataka
Plot/Land,Bengaluru,13.2, L,1650.0,800,Karnataka
Plot/Land,Bengaluru,9.9, L,1650.0,600,Karnataka
Plot/Land,Bengaluru,19.85, L,1654.0,1200,Karnataka
Plot/Land,Bengaluru,19.9, L,1658.0,1200,Karnataka
Plot/Land,Bengaluru,19.97, L,1664.0,1200,Karnataka
Plot/Land,Bengaluru,40.0, L,1666.0,2400,Karnataka
Villa/Independent House,Mangaluru,30.0, L,1666.0,1800,Karnataka
Villa/Independent House,Namakkal,25.0, L,1666.0,1500,Karnataka
Plot/Land,Bengaluru,20.0, L,1666.0,1200,Karnataka
Plot/Land,Bengaluru,27.6, L,1672.0,1650,Karnataka
Plot/Land,Bengaluru,20.18, L,1681.0,1200,Karnataka
Plot/Land,Bengaluru,67.28, L,1682.0,4000,Karnataka
Plot/Land,Bengaluru,40.36, L,1682.0,2400,Karnataka
Plot/Land,Bengaluru,39.1, L,1682.0,2325,Karnataka
Plot/Land,Bengaluru,33.64, L,1682.0,2000,Karnataka
Plot/Land,Bengaluru,30.27, L,1682.0,1800,Karnataka
Plot/Land,Bengaluru,25.23, L,1682.0,1500,Karnataka
Plot/Land,Bengaluru,20.18, L,1682.0,1200,Karnataka
Plot/Land,Bengaluru,20.2, L,1683.0,1200,Karnataka
Apartment,Bengaluru,15.99, L,1684.0,950,Karnataka
Plot/Land,Bengaluru,20000000.0, Cr,1687.0,11854,Karnataka
Plot/Land,Bengaluru,40.79, L,1699.0,2400,Karnataka
Plot/Land,Bengaluru,56.1, L,1700.0,3300,Karnataka
Plot/Land,Bengaluru,40.8, L,1700.0,2400,Karnataka
Plot/Land,Bengaluru,20.4, L,1700.0,1200,Karnataka
Plot/Land,Bengaluru,75.0, L,1704.0,4400,Karnataka
Plot/Land,Bengaluru,37.56, L,1707.0,2200,Karnataka
Plot/Land,Bengaluru,37.57, L,1708.0,2200,Karnataka
Plot/Land,Bengaluru,27.34, L,1709.0,1600,Karnataka
Plot/Land,Mysore,20.59, L,1716.0,1200,Karnataka
Plot/Land,Bengaluru,37.8, L,1718.0,2200,Karnataka
Plot/Land,Bengaluru,37.84, L,1720.0,2200,Karnataka
Plot/Land,Bengaluru,20.65, L,1720.0,1200,Karnataka
Villa/Independent House,Bengaluru,15500000.0, Cr,1722.0,9000,Karnataka
Plot/Land,Bengaluru,37.89, L,1722.0,2200,Karnataka
Plot/Land,Bengaluru,37.94, L,1724.0,2200,Karnataka
Plot/Land,Bengaluru,82.8, L,1725.0,4800,Karnataka
Plot/Land,Bengaluru,37.96, L,1725.0,2200,Karnataka
Plot/Land,Bengaluru,37.98, L,1726.0,2200,Karnataka
Villa/Independent House,Bengaluru,95.0, L,1727.0,5500,Karnataka
Villa/Independent House,Namakkal,37.99, L,1727.0,2200,Karnataka
Villa/Independent House,Mangaluru,38.0, L,1727.0,2200,Karnataka
Villa/Independent House,Namakkal,26.0, L,1733.0,1500,Karnataka
Plot/Land,Bengaluru,20.8, L,1733.0,1200,Karnataka
Plot/Land,Mangaluru,53.0, L,1738.0,3049,Karnataka
Apartment,Bengaluru,25.25, L,1741.0,1450,Karnataka
Plot/Land,Mangaluru,34.0, L,1743.0,1950,Karnataka
Plot/Land,Bengaluru,20.98, L,1749.0,1200,Karnataka
Plot/Land,Bengaluru,20.99, L,1749.0,1200,Karnataka
Plot/Land,Bengaluru,84.0, L,1750.0,4800,Karnataka
Plot/Land,Bengaluru,42.0, L,1750.0,2400,Karnataka
Plot/Land,Krishnagiri,28.0, L,1750.0,1600,Karnataka
Plot/Land,Krishnagiri,26.25, L,1750.0,1500,Karnataka
Plot/Land,Bengaluru,26.25, L,1750.0,1500,Karnataka
Plot/Land,Bengaluru,21.0, L,1750.0,1200,Karnataka
Plot/Land,Mysore,21.0, L,1750.0,1200,Karnataka
Villa/Independent House,Bengaluru,21.0, L,1750.0,1200,Karnataka
Plot/Land,Krishnagiri,17.5, L,1750.0,1000,Karnataka
Plot/Land,Bengaluru,14.0, L,1750.0,800,Karnataka
Plot/Land,Bengaluru,11.2, L,1750.0,640,Karnataka
Plot/Land,Bengaluru,10.5, L,1750.0,600,Karnataka
Plot/Land,Mangaluru,38.0, L,1751.0,2170,Karnataka
Plot/Land,Mysore,21.1, L,1758.0,1200,Karnataka
Apartment,Bengaluru,25.52, L,1760.0,1450,Karnataka
Apartment,Bengaluru,23.76, L,1760.0,1350,Karnataka
Apartment,Bengaluru,15.4, L,1760.0,875,Karnataka
Plot/Land,Bengaluru,38.8, L,1764.0,2200,Karnataka
Villa/Independent House,Bengaluru,18.0, L,1764.0,1020,Karnataka
Villa/Independent House,Namakkal,23.0, L,1769.0,1300,Karnataka
Plot/Land,Bengaluru,28.43, L,1777.0,1600,Karnataka
Apartment,Bengaluru,12.0, L,1777.0,675,Karnataka
Plot/Land,Mysore,21.35, L,1779.0,1200,Karnataka
Plot/Land,Bengaluru,39.27, L,1785.0,2200,Karnataka
Plot/Land,Mysore,21.42, L,1785.0,1200,Karnataka
Plot/Land,Bengaluru,39.35, L,1789.0,2200,Karnataka
Plot/Land,Bengaluru,28.63, L,1789.0,1600,Karnataka
Plot/Land,Bengaluru,10.73, L,1789.0,600,Karnataka
Plot/Land,Mysore,21.48, L,1790.0,1200,Karnataka
Plot/Land,Mysore,21.49, L,1790.0,1200,Karnataka
Plot/Land,Mysore,43.0, L,1791.0,2400,Karnataka
Plot/Land,Mysore,21.52, L,1793.0,1200,Karnataka
Plot/Land,Bengaluru,28.73, L,1795.0,1600,Karnataka
Plot/Land,Mysore,21.55, L,1795.0,1200,Karnataka
Plot/Land,Mysore,21.56, L,1796.0,1200,Karnataka
Plot/Land,Bengaluru,28.76, L,1797.0,1600,Karnataka
Plot/Land,Mysore,21.56, L,1797.0,1200,Karnataka
Plot/Land,Bengaluru,21.6, L,1798.0,1201,Karnataka
Plot/Land,Mysore,21.57, L,1798.0,1200,Karnataka
Plot/Land,Mysore,14.38, L,1798.0,800,Karnataka
Plot/Land,Bengaluru,39.58, L,1799.0,2200,Karnataka
Plot/Land,Bengaluru,28.78, L,1799.0,1600,Karnataka
Plot/Land,Bengaluru,28.79, L,1799.0,1600,Karnataka
Plot/Land,Bengaluru,21.58, L,1799.0,1200,Karnataka
Plot/Land,Mandya,21.58, L,1799.0,1200,Karnataka
Plot/Land,Mysore,21.59, L,1799.0,1200,Karnataka
Plot/Land,Bengaluru,21.59, L,1799.0,1200,Karnataka
Plot/Land,Bengaluru,43.2, L,1800.0,2400,Karnataka
Plot/Land,Bengaluru,29.7, L,1800.0,1650,Karnataka
Plot/Land,Bengaluru,29.71, L,1800.0,1650,Karnataka
Plot/Land,Bengaluru,28.8, L,1800.0,1600,Karnataka
Plot/Land,Bengaluru,27.0, L,1800.0,1500,Karnataka
Villa/Independent House,Namakkal,27.0, L,1800.0,1500,Karnataka
Plot/Land,Mysore,27.0, L,1800.0,1500,Karnataka
Plot/Land,Bengaluru,22.14, L,1800.0,1230,Karnataka
Plot/Land,Bengaluru,21.6, L,1800.0,1200,Karnataka
Plot/Land,Bengaluru,21.61, L,1800.0,1200,Karnataka
Plot/Land,Mysore,21.6, L,1800.0,1200,Karnataka
Plot/Land,Mysore,16.2, L,1800.0,900,Karnataka
Plot/Land,Bengaluru,16.2, L,1800.0,900,Karnataka
Plot/Land,Bengaluru,13.5, L,1800.0,750,Karnataka
Plot/Land,Bengaluru,21.61, L,1801.0,1200,Karnataka
Plot/Land,Mysore,14.41, L,1801.0,800,Karnataka
Plot/Land,Bengaluru,28.83, L,1802.0,1600,Karnataka
Plot/Land,Bengaluru,21.64, L,1803.0,1200,Karnataka
Plot/Land,Mysore,21.65, L,1804.0,1200,Karnataka
Plot/Land,Bengaluru,21.67, L,1806.0,1200,Karnataka
Plot/Land,Bengaluru,21.69, L,1808.0,1200,Karnataka
Plot/Land,Mysore,21.75, L,1813.0,1200,Karnataka
Plot/Land,Bengaluru,21.0, L,1824.0,1151,Karnataka
Plot/Land,Bengaluru,21.9, L,1825.0,1200,Karnataka
Villa/Independent House,Bengaluru,64.8, L,1829.0,3543,Karnataka
Plot/Land,Bengaluru,21.99, L,1832.0,1200,Karnataka
Plot/Land,Bengaluru,22.0, L,1833.0,1200,Karnataka
Plot/Land,Bengaluru,21.99, L,1833.0,1200,Karnataka
Plot/Land,Bengaluru,11.0, L,1833.0,600,Karnataka
Plot/Land,Mangaluru,40.0, L,1839.0,2175,Karnataka
Plot/Land,Bengaluru,27.6, L,1840.0,1500,Karnataka
Plot/Land,Bengaluru,40.59, L,1845.0,2200,Karnataka
Plot/Land,Bengaluru,22.15, L,1845.0,1200,Karnataka
Plot/Land,Bengaluru,40.65, L,1847.0,2200,Karnataka
Plot/Land,Bengaluru,74.0, L,1850.0,4000,Karnataka
Plot/Land,Bengaluru,44.4, L,1850.0,2400,Karnataka
Plot/Land,Bengaluru,27.75, L,1850.0,1500,Karnataka
Plot/Land,Bengaluru,22.2, L,1850.0,1200,Karnataka
Plot/Land,Thiruvananthapuram,25.0, L,1851.0,1350,Karnataka
Apartment,Bengaluru,13.0, L,1857.0,700,Karnataka
Plot/Land,Bengaluru,28.0, L,1866.0,1500,Karnataka
Plot/Land,Bengaluru,44.84, L,1868.0,2400,Karnataka
Plot/Land,Mysore,41.63, L,1870.0,2226,Karnataka
Apartment,Bengaluru,45.0, L,1875.0,2400,Karnataka
Plot/Land,Mysore,30.0, L,1875.0,1600,Karnataka
Plot/Land,Bengaluru,22.5, L,1875.0,1200,Karnataka
Plot/Land,Bengaluru,15.0, L,1875.0,800,Karnataka
Plot/Land,Bengaluru,22.6, L,1883.0,1200,Karnataka
Plot/Land,Bengaluru,14.5, L,1883.0,770,Karnataka
Plot/Land,Bengaluru,45.25, L,1885.0,2400,Karnataka
Plot/Land,Bengaluru,17.0, L,1888.0,900,Karnataka
Plot/Land,Bengaluru,37.8, L,1890.0,2000,Karnataka
Plot/Land,Bengaluru,22.72, L,1893.0,1200,Karnataka
Plot/Land,Bengaluru,15.15, L,1893.0,800,Karnataka
Plot/Land,Bengaluru,22.76, L,1896.0,1200,Karnataka
Plot/Land,Bengaluru,41.77, L,1899.0,2200,Karnataka
Plot/Land,Bengaluru,45.6, L,1900.0,2400,Karnataka
Plot/Land,Bengaluru,38.0, L,1900.0,2000,Karnataka
Plot/Land,Bengaluru,34.2, L,1900.0,1800,Karnataka
Plot/Land,Bengaluru,28.5, L,1900.0,1500,Karnataka
Plot/Land,Bengaluru,22.8, L,1900.0,1200,Karnataka
Plot/Land,Bengaluru,19.0, L,1900.0,1000,Karnataka
Plot/Land,Bengaluru,15.71, L,1900.0,827,Karnataka
Plot/Land,Bengaluru,15.16, L,1900.0,798,Karnataka
Plot/Land,Bengaluru,13.26, L,1900.0,698,Karnataka
Plot/Land,Bengaluru,11.4, L,1900.0,600,Karnataka
Plot/Land,Mangaluru,41.41, L,1902.0,2177,Karnataka
Plot/Land,Bengaluru,22.85, L,1904.0,1200,Karnataka
Plot/Land,Bengaluru,28.6, L,1906.0,1500,Karnataka
Plot/Land,Bengaluru,22.9, L,1908.0,1200,Karnataka
Plot/Land,Bengaluru,22.95, L,1912.0,1200,Karnataka
Villa/Independent House,Bengaluru,11500000.0, Cr,1916.0,6000,Karnataka
Plot/Land,Bengaluru,46.0, L,1916.0,2400,Karnataka
Plot/Land,Bengaluru,23.0, L,1916.0,1200,Karnataka
Plot/Land,Bengaluru,22.99, L,1916.0,1200,Karnataka
Plot/Land,Mysore,23.0, L,1916.0,1200,Karnataka
Plot/Land,Mangaluru,37.0, L,1922.0,1925,Karnataka
Villa/Independent House,Namakkal,25.0, L,1923.0,1300,Karnataka
Plot/Land,Bengaluru,27.0, L,1928.0,1400,Karnataka
Plot/Land,Bengaluru,29.0, L,1933.0,1500,Karnataka
Plot/Land,Bengaluru,28.99, L,1933.0,1500,Karnataka
Plot/Land,Bengaluru,53.56, L,1937.0,2765,Karnataka
Villa/Independent House,Bengaluru,31.0, L,1937.0,1600,Karnataka
Plot/Land,Bengaluru,23.3, L,1941.0,1200,Karnataka
Plot/Land,Bengaluru,35.0, L,1944.0,1800,Karnataka
Plot/Land,Bengaluru,42.9, L,1950.0,2200,Karnataka
Plot/Land,Bengaluru,39.0, L,1950.0,2000,Karnataka
Plot/Land,Bengaluru,29.36, L,1950.0,1506,Karnataka
Plot/Land,Bengaluru,23.4, L,1950.0,1200,Karnataka
Plot/Land,Bengaluru,19.5, L,1950.0,1000,Karnataka
Plot/Land,Bengaluru,15.6, L,1950.0,800,Karnataka
Plot/Land,Bengaluru,14.62, L,1950.0,750,Karnataka
Villa/Independent House,Mangaluru,68.0, L,1954.0,3480,Karnataka
Plot/Land,Bengaluru,23.46, L,1955.0,1200,Karnataka
Plot/Land,Bengaluru,29.35, L,1956.0,1500,Karnataka
Plot/Land,Bengaluru,47.0, L,1958.0,2400,Karnataka
Plot/Land,Bengaluru,23.5, L,1958.0,1200,Karnataka
Plot/Land,Bengaluru,15.86, L,1958.0,810,Karnataka
Plot/Land,Bengaluru,59.0, L,1966.0,3000,Karnataka
Plot/Land,Bengaluru,29.5, L,1966.0,1500,Karnataka
Villa/Independent House,Bengaluru,11.99, L,1967.0,610,Karnataka
Plot/Land,Bengaluru,29.6, L,1973.0,1500,Karnataka
Plot/Land,Bengaluru,29.62, L,1975.0,1500,Karnataka
Plot/Land,Bengaluru,47.5, L,1979.0,2400,Karnataka
Plot/Land,Bengaluru,47.76, L,1990.0,2400,Karnataka
Plot/Land,Bengaluru,35.82, L,1990.0,1800,Karnataka
Plot/Land,Mysore,23.88, L,1990.0,1200,Karnataka
Plot/Land,Bengaluru,23.9, L,1991.0,1200,Karnataka
Plot/Land,Mysore,23.9, L,1992.0,1200,Karnataka
Plot/Land,Mangaluru,82.47, L,1993.0,4138,Karnataka
Plot/Land,Bengaluru,29.98, L,1998.0,1500,Karnataka
Plot/Land,Bengaluru,23.98, L,1998.0,1200,Karnataka
Plot/Land,Bengaluru,57.22, L,1999.0,2800,Karnataka
Plot/Land,Bengaluru,49.22, L,1999.0,2400,Karnataka
Plot/Land,Bengaluru,47.99, L,1999.0,2400,Karnataka
Plot/Land,Bengaluru,43.97, L,1999.0,2200,Karnataka
Plot/Land,Bengaluru,35.99, L,1999.0,1800,Karnataka
