property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Visakhapatnam,38.0, L,1055.0,3600,Andhra Pradesh
Plot/Land,Visakhapatnam,20.9, L,1055.0,1980,Andhra Pradesh
Plot/Land,Visakhapatnam,19.0, L,1055.0,1800,Andhra Pradesh
Plot/Land,Guntur,19.0, L,1055.0,1800,Andhra Pradesh
Plot/Land,Kakinada,18.24, L,1055.0,1728,Andhra Pradesh
Plot/Land,Vizianagaram,17.38, L,1055.0,1647,Andhra Pradesh
Plot/Land,Visakhapatnam,15.86, L,1055.0,1503,Andhra Pradesh
Plot/Land,Kakinada,14.25, L,1055.0,1350,Andhra Pradesh
Plot/Land,Guntur,13.11, L,1055.0,1242,Andhra Pradesh
Plot/Land,Guntur,12.63, L,1055.0,1197,Andhra Pradesh
Plot/Land,Kakinada,9.5, L,1055.0,900,Andhra Pradesh
Plot/Land,Visakhapatnam,8.55, L,1055.0,810,Andhra Pradesh
Plot/Land,Vizianagaram,8.55, L,1055.0,810,Andhra Pradesh
Plot/Land,Vijayawada,18.74, L,1056.0,1774,Andhra Pradesh
Plot/Land,Vizianagaram,31.72, L,1060.0,2990,Andhra Pradesh
Plot/Land,Visakhapatnam,17.41, L,1061.0,1640,Andhra Pradesh
Plot/Land,Visakhapatnam,50.0, L,1063.0,4700,Andhra Pradesh
Plot/Land,Visakhapatnam,16.0, L,1063.0,1504,Andhra Pradesh
Plot/Land,Visakhapatnam,16.0, L,1064.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,16.0, L,1065.0,1502,Andhra Pradesh
Plot/Land,Visakhapatnam,48.0, L,1066.0,4500,Andhra Pradesh
Plot/Land,Visakhapatnam,17.62, L,1067.0,1650,Andhra Pradesh
Plot/Land,Visakhapatnam,15.68, L,1068.0,1468,Andhra Pradesh
Plot/Land,Visakhapatnam,26.0, L,1069.0,2430,Andhra Pradesh
Plot/Land,Vizianagaram,21.3, L,1070.0,1990,Andhra Pradesh
Plot/Land,Visakhapatnam,15.68, L,1071.0,1463,Andhra Pradesh
Plot/Land,Visakhapatnam,15.12, L,1072.0,1410,Andhra Pradesh
Plot/Land,Visakhapatnam,8.5, L,1073.0,792,Andhra Pradesh
Plot/Land,Visakhapatnam,18.1, L,1074.0,1684,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1075.0,1860,Andhra Pradesh
Plot/Land,Visakhapatnam,16.56, L,1075.0,1540,Andhra Pradesh
Plot/Land,Visakhapatnam,16.85, L,1076.0,1565,Andhra Pradesh
Plot/Land,Visakhapatnam,14.53, L,1076.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,13.57, L,1076.0,1260,Andhra Pradesh
Plot/Land,Visakhapatnam,23.1, L,1079.0,2140,Andhra Pradesh
Plot/Land,Vizianagaram,38.46, L,1080.0,3560,Andhra Pradesh
Plot/Land,Visakhapatnam,35.0, L,1080.0,3240,Andhra Pradesh
Plot/Land,Visakhapatnam,19.5, L,1081.0,1803,Andhra Pradesh
Plot/Land,Visakhapatnam,14.71, L,1081.0,1360,Andhra Pradesh
Plot/Land,Visakhapatnam,17.86, L,1082.0,1650,Andhra Pradesh
Plot/Land,Tirupati,19.5, L,1083.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,19.5, L,1083.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,18.53, L,1083.0,1710,Andhra Pradesh
Plot/Land,Visakhapatnam,13.0, L,1083.0,1200,Andhra Pradesh
Plot/Land,Visakhapatnam,21.5, L,1085.0,1980,Andhra Pradesh
Plot/Land,Visakhapatnam,50.0, L,1086.0,4600,Andhra Pradesh
Plot/Land,Tirupati,19.55, L,1086.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,13.0, L,1086.0,1197,Andhra Pradesh
Plot/Land,Visakhapatnam,11.5, L,1086.0,1058,Andhra Pradesh
Plot/Land,Prakasam,24.5, L,1088.0,2250,Andhra Pradesh
Plot/Land,Visakhapatnam,14.7, L,1088.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,12.54, L,1088.0,1152,Andhra Pradesh
Plot/Land,Visakhapatnam,21.35, L,1089.0,1960,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1091.0,1832,Andhra Pradesh
Plot/Land,Visakhapatnam,14.63, L,1091.0,1340,Andhra Pradesh
Plot/Land,Visakhapatnam,16.84, L,1092.0,1542,Andhra Pradesh
Plot/Land,Visakhapatnam,12.0, L,1092.0,1098,Andhra Pradesh
Plot/Land,Visakhapatnam,50.0, L,1095.0,4566,Andhra Pradesh
Plot/Land,Visakhapatnam,16.5, L,1095.0,1506,Andhra Pradesh
Plot/Land,Visakhapatnam,16.5, L,1096.0,1505,Andhra Pradesh
Plot/Land,Visakhapatnam,13.81, L,1096.0,1260,Andhra Pradesh
Plot/Land,Visakhapatnam,39.5, L,1097.0,3600,Andhra Pradesh
Plot/Land,Visakhapatnam,21.3, L,1097.0,1940,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1097.0,1823,Andhra Pradesh
Plot/Land,Visakhapatnam,16.5, L,1097.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,19.76, L,1098.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,16.5, L,1098.0,1502,Andhra Pradesh
Plot/Land,Visakhapatnam,12.54, L,1098.0,1142,Andhra Pradesh
Plot/Land,Visakhapatnam,16.93, L,1099.0,1540,Andhra Pradesh
Plot/Land,Visakhapatnam,26.43, L,1100.0,2403,Andhra Pradesh
Plot/Land,Visakhapatnam,24.75, L,1100.0,2250,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1100.0,1817,Andhra Pradesh
Plot/Land,Tirupati,19.8, L,1100.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,19.8, L,1100.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,17.82, L,1100.0,1620,Andhra Pradesh
Plot/Land,Visakhapatnam,16.55, L,1100.0,1504,Andhra Pradesh
Plot/Land,Visakhapatnam,16.53, L,1100.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,13.86, L,1100.0,1260,Andhra Pradesh
Plot/Land,Visakhapatnam,33.0, L,1101.0,2997,Andhra Pradesh
Plot/Land,Visakhapatnam,16.51, L,1101.0,1500,Andhra Pradesh
Plot/Land,Visakhapatnam,13.42, L,1101.0,1218,Andhra Pradesh
Villa/Independent House,Anantapuram,16.0, L,1103.0,1450,Andhra Pradesh
Plot/Land,Vijayawada,16.5, L,1104.0,1494,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1105.0,1809,Andhra Pradesh
Plot/Land,Visakhapatnam,52.0, L,1106.0,4700,Andhra Pradesh
Plot/Land,Visakhapatnam,26.0, L,1106.0,2350,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1106.0,1807,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1107.0,1806,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1108.0,1805,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1108.0,1804,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1109.0,1803,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1109.0,1802,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1110.0,1801,Andhra Pradesh
Plot/Land,Visakhapatnam,10000000.0, Cr,1111.0,9000,Andhra Pradesh
Plot/Land,Visakhapatnam,72.0, L,1111.0,6480,Andhra Pradesh
Plot/Land,Guntur,53.3, L,1111.0,4797,Andhra Pradesh
Plot/Land,Visakhapatnam,50.0, L,1111.0,4500,Andhra Pradesh
Plot/Land,Visakhapatnam,40.0, L,1111.0,3600,Andhra Pradesh
Plot/Land,Guntur,37.0, L,1111.0,3330,Andhra Pradesh
Plot/Land,Guntur,33.0, L,1111.0,2970,Andhra Pradesh
Plot/Land,Visakhapatnam,25.0, L,1111.0,2250,Andhra Pradesh
Plot/Land,Tirupati,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Nellore,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Vizianagaram,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Srikakulam,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Guntur,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Eluru,20.0, L,1111.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,19.99, L,1111.0,1800,Andhra Pradesh
Plot/Land,Guntur,18.7, L,1111.0,1683,Andhra Pradesh
