locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,lift(s),full_power_backup,24_x_7_security,children's_play_area,club_house,gymnasium,swimming_pool,sports_facility,jogging_track,landscaped_gardens,locality_score,project_score,builder_experience,hospital,multipurpose_room,rain_water_harvesting,vaastu_compliant,atm,car_parking,intercom,maintenance_staff,school,pincode,staff_quarter,golf_course,cafeteria,indoor_games
Yadagirigutta,1350.0,1275000.0,INR,1.0,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 12.75 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,4968.0,4710000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Chandigarh Airport Area. It has a salable area of 4968 sqft and is available at a price of Rs. 948 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080.0,850000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1080 sqft and is priced at Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1323.0,1102500.0,INR,1.0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1323 sqft and is priced at Rs. 11.02 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 69,1800.0,15500000.0,INR,1.0,0,0,"8 Marla plot available for sale in sector 69 Mohali More About This Property 1800 Square feet Plot for sale in Sector 69, Mohali. This land has a dimension of 60.0 mt length 30.0 mt width. Price. There are 1 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Shemrock School, Nanhe Manke International School, and Doon International School",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1000.0,1000000.0,INR,1.0,1,0,"This plot is situated in Yadagirigutta, Chandigarh. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1089.0,544500.0,INR,1.0,1,0,"A plot is available for sale in Yadagirigutta, Chandigarh. It has an area of 1089 sqft. The property is available at a price of Rs. 5.45 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Chandigarh Airport Area,1800.0,9500000.0,INR,0.0,1,0,"This plot is situated in Chandigarh Airport Area. It has an area of 1800 sqft. The property is available at a price of Rs. 95.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
New chandigarh mohali,1800.0,12400000.0,INR,0.0,1,0,"This plot is situated in New chandigarh mohali, Chandigarh. It has an area of 1800 sqft. The property is available at a price of Rs. 1.24 cr . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,3600.0,41500000.0,INR,1.0,0,0,"A plot property is available for sale in Sector 79, Chandigarh. It has an area of 3600 sqft. The property is available at a price of Rs. 4.15 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1485.0,1155000.0,INR,0.0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1485 sqft. The property is available at a price of Rs. 11.55 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Dhakoli,1120.0,5600000.0,INR,1.0,0,0,"This plot is situated in Dhakoli, Chandigarh. It has an area of 1120 sqft and is priced at Rs. 56.00 lac . It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,2178.0,1550000.0,INR,1.0,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 2178 sqft. The property is available at a price of Rs. 15.50 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1503.0,2446000.0,INR,1.0,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has an area of 1500 sqft and is priced at Rs. 24.46 lac . Its entry is northeast facing. The society is well connected by different modes of transportation. Contact us for more details. ,1,northeast,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,2763.0,12900000.0,INR,1.0,0,0,"This plot is situated in Mohali Village. It has an area of 2763 sqft and is priced at Rs. 1.29 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 34,2250.0,45000000.0,INR,1.0,0,0,"This plot is situated in Sector 34, Chandigarh. It has an area of 2250 sqft. The property is available at a price of Rs. 4.50 cr . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
