prop_id,property_type,city,address,resale,owntype,bhk,bathrooms,balcony_num,total_price,furnish,facing,property_age,floor_num,total_floor,prop_name,min_price,max_price,price_sqft,building_id,builtup_area_sqft,superbuiltup_sqft,brokerage,min_area_sqft,max_area_sqft,expiry_date,price,class_label,total_landmark_count,contact_company_name,flag_reason,dataset
V68476712,Apartment,Central Mumbai Suburbs,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,20,Innovative Parekh House,0.0,0.0,0,1076447.0,,,,486.533011,486.533011,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
O68476710,Apartment,Central Mumbai Suburbs,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,20,Innovative Parekh House,0.0,0.0,0,1076447.0,,,,698.351851,698.351851,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D68476708,Apartment,Central Mumbai Suburbs,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,20,Innovative Parekh House,0.0,0.0,0,1076447.0,,,,385.082935,385.082935,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D68229832,Apartment,South Mumbai,,Yes,Owner,5.0,,1,0.0,Unknown,North,6,1,35,Sobhaniye Riddhi Siddhi Apartment,0.0,0.0,0,128857.0,,,,76.087557,76.087557,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
W68229830,Apartment,South Mumbai,,Yes,Owner,3.0,,1,0.0,Unknown,North,6,1,35,Sobhaniye Riddhi Siddhi Apartment,0.0,0.0,0,128857.0,,,,82.590767,158.120906,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
R68229828,Apartment,South Mumbai,,Yes,Owner,2.0,,1,0.0,Unknown,North,6,1,35,Sobhaniye Riddhi Siddhi Apartment,0.0,0.0,0,128857.0,,,,64.753391,123.56099,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
I68229826,Apartment,South Mumbai,,Yes,Owner,1.0,,1,0.0,Unknown,North,6,1,35,Sobhaniye Riddhi Siddhi Apartment,0.0,0.0,0,128857.0,,,,43.199895,48.495366,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70233256,Apartment,South Mumbai,,Yes,Owner,6.0,,1,0.0,Unknown,North,6,1,20,Jron Shree Krishna Niwas,0.0,0.0,0,544269.0,,,,235.04459,250.094876,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
L70233254,Apartment,South Mumbai,,Yes,Owner,5.0,,1,0.0,Unknown,North,6,1,20,Jron Shree Krishna Niwas,0.0,0.0,0,544269.0,,,,189.800829,189.800829,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
P70233250,Apartment,South Mumbai,,Yes,Owner,4.0,,1,0.0,Unknown,North,6,1,20,Jron Shree Krishna Niwas,0.0,0.0,0,544269.0,,,,145.021583,145.021583,2023-09-16,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
T71005350,Apartment,Mumbai Beyond Thane,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,25,Paradise Sai World Dreams,0.0,0.0,0,1079666.0,,,,76.644975,121.981639,2023-09-24,38.0,Dealer,6,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Y70741928,Apartment,Central Mumbai Suburbs,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,20,Shiv Srishti Oasis,0.0,0.0,0,1120717.0,,,,33.352177,33.352177,2023-09-10,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
P70741926,Apartment,Central Mumbai Suburbs,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,20,Shiv Srishti Oasis,0.0,0.0,0,1120717.0,,,,79.339162,84.077215,2023-09-10,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
X70741924,Apartment,Central Mumbai Suburbs,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,20,Shiv Srishti Oasis,0.0,0.0,0,1120717.0,,,,39.390872,59.829532,2023-09-10,38.0,Dealer,50,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Z70741896,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,13,Chandiwala Pearl Heaven,0.0,0.0,0,1061571.0,,,,35.396043,44.686343,2023-09-10,38.0,Dealer,3,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
H70741894,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,13,Chandiwala Pearl Heaven,0.0,0.0,0,1061571.0,,,,55.463091,55.463091,2023-09-10,38.0,Dealer,3,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
Q70741892,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,13,Chandiwala Pearl Heaven,0.0,0.0,0,1061571.0,,,,41.434738,46.4515,2023-09-10,38.0,Dealer,3,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
S70493228,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,4.0,,1,0.0,Unknown,North,5,1,16,Codename Rare By Runwal,0.0,0.0,0,1077601.0,,,,170.755714,170.755714,2023-09-23,38.0,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
U70493224,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,3.0,,1,0.0,Unknown,North,5,1,16,Codename Rare By Runwal,0.0,0.0,0,1077601.0,,,,102.286203,112.970048,2023-09-23,38.0,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
D70493222,Apartment,Mumbai Andheri-Dahisar,,Yes,Owner,2.0,,1,0.0,Unknown,North,5,1,16,Codename Rare By Runwal,0.0,0.0,0,1077601.0,,,,79.89658,79.89658,2023-09-23,38.0,Dealer,8,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
L70212358,Apartment,Navi Mumbai,,Yes,Owner,1.0,,1,0.0,Unknown,North,5,1,23,Omkar Planet,0.0,0.0,0,1059760.0,,,,31.865729,31.865729,2023-09-16,38.0,Dealer,13,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
M70683210,Apartment,South Mumbai,,Yes,Owner,6.0,,1,0.0,Unknown,North,5,1,66,Raheja The Riviere Worli Skyline,0.0,0.0,0,1121373.0,,,,254.647123,254.647123,2023-09-07,38.0,Dealer,11,,Invalid total_price,dataset_3_real_estate_RE_Combined_Data_cleaned.csv
